MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21722331,255000,2020-07-08,Johnson,2020,7,July
21731445,250000,2020-08-13,Johnson,2020,8,August
21754827,249000,2020-11-24,Johnson,2020,11,November
21737161,254900,2020-09-12,Johnson,2020,9,September
21731449,245000,2020-08-13,Johnson,2020,8,August
21729781,255000,2020-08-05,Johnson,2020,8,August
21727808,255000,2020-07-31,Johnson,2020,7,July
21723098,249999,2020-07-06,Johnson,2020,7,July
21718181,245000,2020-06-10,Johnson,2020,6,June
21716937,254900,2020-06-08,Johnson,2020,6,June
21711649,240000,2020-06-04,Johnson,2020,6,June
21729221,250000,2020-08-04,Johnson,2020,8,August
21739058,257000,2020-09-15,Johnson,2020,9,September
21743208,269900,2020-10-01,Johnson,2020,10,October
21718857,250000,2020-06-12,Johnson,2020,6,June
21743059,250000,2020-09-28,Johnson,2020,9,September
21731720,259900,2020-08-13,Johnson,2020,8,August
21715774,259990,2020-06-03,Johnson,2020,6,June
21743140,255000,2020-09-30,Johnson,2020,9,September
21731680,250000,2020-08-13,Johnson,2020,8,August
21728966,279900,2020-08-03,Johnson,2020,8,August
21742073,254900,2020-09-25,Johnson,2020,9,September
21737250,264900,2020-09-05,Johnson,2020,9,September
21719290,271900,2020-06-16,Johnson,2020,6,June
21719124,250000,2020-06-26,Johnson,2020,6,June
21748254,274900,2020-10-22,Johnson,2020,10,October
21744520,272000,2020-10-16,Johnson,2020,10,October
21739999,269900,2020-09-18,Johnson,2020,9,September
21730050,249900,2020-08-05,Johnson,2020,8,August
21732848,225000,2020-08-20,Johnson,2020,8,August
21754989,255000,2020-11-30,Johnson,2020,11,November
21746590,269900,2020-10-26,Johnson,2020,10,October
21737065,265000,2020-09-06,Johnson,2020,9,September
21718370,264900,2020-06-12,Johnson,2020,6,June
21731557,268000,2020-08-21,Johnson,2020,8,August
21728446,274900,2020-07-28,Johnson,2020,7,July
21743224,269000,2020-10-02,Johnson,2020,10,October
21737941,269900,2020-09-10,Johnson,2020,9,September
21718977,269900,2020-06-14,Johnson,2020,6,June
21746170,279000,2020-10-16,Johnson,2020,10,October
21719089,270000,2020-06-15,Johnson,2020,6,June
21714815,285000,2020-06-01,Johnson,2020,6,June
21740344,274900,2020-09-26,Johnson,2020,9,September
21728131,274900,2020-07-26,Johnson,2020,7,July
21724734,272431,2020-07-16,Johnson,2020,7,July
21722726,269900,2020-07-02,Johnson,2020,7,July
21749480,270000,2020-10-30,Johnson,2020,10,October
21744019,294900,2020-10-05,Johnson,2020,10,October
21743682,275000,2020-10-07,Johnson,2020,10,October
21743119,275000,2020-09-30,Johnson,2020,9,September
21741967,275000,2020-09-25,Johnson,2020,9,September
21738554,269900,2020-09-12,Johnson,2020,9,September
21724407,269900,2020-07-12,Johnson,2020,7,July
21723010,275000,2020-07-04,Johnson,2020,7,July
21721863,275000,2020-07-30,Johnson,2020,7,July
21729300,252900,2020-07-31,Johnson,2020,7,July
21734097,280185,2020-08-20,Johnson,2020,8,August
21740760,279900,2020-09-24,Johnson,2020,9,September
21748768,278000,2020-11-06,Johnson,2020,11,November
21728001,284900,2020-07-25,Johnson,2020,7,July
21729089,278285,2020-07-30,Johnson,2020,7,July
21732533,283900,2020-08-22,Johnson,2020,8,August
21719101,265000,2020-06-18,Johnson,2020,6,June
21742188,279900,2020-09-25,Johnson,2020,9,September
21732135,279900,2020-08-15,Johnson,2020,8,August
21743387,289500,2020-09-30,Johnson,2020,9,September
21726049,299900,2020-07-22,Johnson,2020,7,July
21719536,300000,2020-06-18,Johnson,2020,6,June
21716543,299900,2020-06-10,Johnson,2020,6,June
21728164,289900,2020-07-30,Johnson,2020,7,July
21720274,283000,2020-07-02,Johnson,2020,7,July
21754991,283500,2020-09-04,Johnson,2020,9,September
21719094,283848,2020-06-15,Johnson,2020,6,June
21746015,284900,2020-10-15,Johnson,2020,10,October
21748742,285000,2020-10-26,Johnson,2020,10,October
21746632,285000,2020-10-19,Johnson,2020,10,October
21740609,290000,2020-09-22,Johnson,2020,9,September
21740166,274000,2020-09-24,Johnson,2020,9,September
21732803,289900,2020-08-20,Johnson,2020,8,August
21730757,289900,2020-08-13,Johnson,2020,8,August
21749381,295000,2020-10-28,Johnson,2020,10,October
21721083,295000,2020-06-24,Johnson,2020,6,June
21734764,324900,2020-08-26,Johnson,2020,8,August
21723530,290000,2020-07-07,Johnson,2020,7,July
21722795,295000,2020-07-03,Johnson,2020,7,July
21721133,289900,2020-07-07,Johnson,2020,7,July
21749960,295000,2020-11-02,Johnson,2020,11,November
21744236,295000,2020-10-07,Johnson,2020,10,October
21730005,295000,2020-08-05,Johnson,2020,8,August
21727793,299990,2020-07-31,Johnson,2020,7,July
21725003,300000,2020-07-16,Johnson,2020,7,July
21718282,299995,2020-06-11,Johnson,2020,6,June
21736746,300000,2020-09-03,Johnson,2020,9,September
21730421,296590,2020-08-20,Johnson,2020,8,August
21728928,310000,2020-07-31,Johnson,2020,7,July
21715897,298510,2020-06-04,Johnson,2020,6,June
21716946,298900,2020-06-11,Johnson,2020,6,June
21722034,305000,2020-06-30,Johnson,2020,6,June
21749967,300000,2020-11-01,Johnson,2020,11,November
21746762,290000,2020-10-27,Johnson,2020,10,October
21739608,299900,2020-09-17,Johnson,2020,9,September
21738589,300000,2020-09-18,Johnson,2020,9,September
21730268,299900,2020-08-06,Johnson,2020,8,August
21727771,310000,2020-07-23,Johnson,2020,7,July
21723829,314900,2020-07-14,Johnson,2020,7,July
21720822,329995,2020-06-23,Johnson,2020,6,June
21724461,300000,2020-07-12,Johnson,2020,7,July
21731677,300375,2020-08-18,Johnson,2020,8,August
21727810,285000,2020-07-23,Johnson,2020,7,July
21719570,304900,2020-06-18,Johnson,2020,6,June
21745184,305000,2020-10-09,Johnson,2020,10,October
21742191,309900,2020-09-25,Johnson,2020,9,September
21740652,292000,2020-09-24,Johnson,2020,9,September
21739238,299900,2020-09-16,Johnson,2020,9,September
21744814,309900,2020-10-08,Johnson,2020,10,October
21715860,315000,2020-06-11,Johnson,2020,6,June
21722894,330000,2020-07-02,Johnson,2020,7,July
21737576,314900,2020-09-12,Johnson,2020,9,September
21738405,299900,2020-09-15,Johnson,2020,9,September
21738399,315000,2020-09-18,Johnson,2020,9,September
21728662,315000,2020-08-13,Johnson,2020,8,August
21718988,324900,2020-06-16,Johnson,2020,6,June
21735259,322000,2020-08-29,Johnson,2020,8,August
21735706,319900,2020-09-01,Johnson,2020,9,September
21724692,319900,2020-07-14,Johnson,2020,7,July
