GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME,YEAR,MONTH,DAY,MONTH_NAME
F,20-29,2020-12-03 00:00:00,8,Boone,2020,12,3,December
F,20-29,2020-12-04 00:00:00,5,Boone,2020,12,4,December
F,20-29,2020-12-05 00:00:00,6,Boone,2020,12,5,December
F,20-29,2020-12-06 00:00:00,2,Boone,2020,12,6,December
F,20-29,2020-12-07 00:00:00,10,Boone,2020,12,7,December
F,20-29,2020-12-08 00:00:00,8,Boone,2020,12,8,December
F,20-29,2020-12-09 00:00:00,4,Boone,2020,12,9,December
F,20-29,2020-12-10 00:00:00,8,Boone,2020,12,10,December
F,20-29,2020-12-11 00:00:00,8,Boone,2020,12,11,December
F,20-29,2020-12-12 00:00:00,9,Boone,2020,12,12,December
F,20-29,2020-12-13 00:00:00,8,Boone,2020,12,13,December
F,20-29,2020-12-14 00:00:00,8,Boone,2020,12,14,December
F,20-29,2020-12-15 00:00:00,2,Boone,2020,12,15,December
F,20-29,2020-12-16 00:00:00,11,Boone,2020,12,16,December
F,20-29,2020-12-17 00:00:00,6,Boone,2020,12,17,December
F,20-29,2020-12-18 00:00:00,5,Boone,2020,12,18,December
F,20-29,2020-12-19 00:00:00,9,Boone,2020,12,19,December
F,20-29,2020-12-20 00:00:00,2,Boone,2020,12,20,December
F,20-29,2020-12-21 00:00:00,5,Boone,2020,12,21,December
F,20-29,2020-12-22 00:00:00,2,Boone,2020,12,22,December
F,20-29,2020-12-23 00:00:00,6,Boone,2020,12,23,December
F,20-29,2020-12-24 00:00:00,8,Boone,2020,12,24,December
F,20-29,2020-12-25 00:00:00,1,Boone,2020,12,25,December
F,20-29,2020-12-26 00:00:00,1,Boone,2020,12,26,December
F,20-29,2020-12-28 00:00:00,1,Boone,2020,12,28,December
F,20-29,2020-12-29 00:00:00,3,Boone,2020,12,29,December
F,20-29,2020-12-30 00:00:00,5,Boone,2020,12,30,December
F,20-29,2020-12-31 00:00:00,6,Boone,2020,12,31,December
F,20-29,2021-01-01 00:00:00,9,Boone,2021,1,1,January
F,20-29,2021-01-02 00:00:00,5,Boone,2021,1,2,January
F,20-29,2021-01-03 00:00:00,4,Boone,2021,1,3,January
F,20-29,2021-01-04 00:00:00,8,Boone,2021,1,4,January
F,20-29,2021-01-05 00:00:00,5,Boone,2021,1,5,January
F,20-29,2021-01-06 00:00:00,5,Boone,2021,1,6,January
F,20-29,2021-01-07 00:00:00,4,Boone,2021,1,7,January
F,20-29,2021-01-08 00:00:00,8,Boone,2021,1,8,January
F,20-29,2021-01-09 00:00:00,2,Boone,2021,1,9,January
F,20-29,2021-01-10 00:00:00,4,Boone,2021,1,10,January
F,20-29,2021-01-11 00:00:00,4,Boone,2021,1,11,January
F,20-29,2021-01-12 00:00:00,3,Boone,2021,1,12,January
F,20-29,2021-01-13 00:00:00,3,Boone,2021,1,13,January
F,20-29,2021-01-14 00:00:00,3,Boone,2021,1,14,January
F,20-29,2021-01-15 00:00:00,3,Boone,2021,1,15,January
F,20-29,2021-01-16 00:00:00,1,Boone,2021,1,16,January
F,20-29,2021-01-17 00:00:00,2,Boone,2021,1,17,January
F,20-29,2021-01-18 00:00:00,3,Boone,2021,1,18,January
F,20-29,2021-01-19 00:00:00,2,Boone,2021,1,19,January
F,20-29,2021-01-20 00:00:00,1,Boone,2021,1,20,January
F,20-29,2021-01-21 00:00:00,5,Boone,2021,1,21,January
F,30-39,2020-03-29 00:00:00,2,Boone,2020,3,29,March
F,30-39,2020-03-30 00:00:00,1,Boone,2020,3,30,March
F,30-39,2020-04-01 00:00:00,1,Boone,2020,4,1,April
F,30-39,2020-04-03 00:00:00,1,Boone,2020,4,3,April
F,30-39,2020-04-10 00:00:00,1,Boone,2020,4,10,April
F,30-39,2020-04-13 00:00:00,1,Boone,2020,4,13,April
F,30-39,2020-04-14 00:00:00,2,Boone,2020,4,14,April
F,30-39,2020-04-21 00:00:00,1,Boone,2020,4,21,April
F,30-39,2020-04-24 00:00:00,1,Boone,2020,4,24,April
F,30-39,2020-05-04 00:00:00,1,Boone,2020,5,4,May
F,30-39,2020-05-16 00:00:00,1,Boone,2020,5,16,May
F,30-39,2020-05-17 00:00:00,1,Boone,2020,5,17,May
F,30-39,2020-05-20 00:00:00,2,Boone,2020,5,20,May
F,30-39,2020-05-21 00:00:00,1,Boone,2020,5,21,May
F,30-39,2020-05-25 00:00:00,1,Boone,2020,5,25,May
F,30-39,2020-05-29 00:00:00,2,Boone,2020,5,29,May
F,30-39,2020-06-05 00:00:00,1,Boone,2020,6,5,June
F,30-39,2020-06-07 00:00:00,1,Boone,2020,6,7,June
F,30-39,2020-06-09 00:00:00,1,Boone,2020,6,9,June
F,30-39,2020-06-10 00:00:00,2,Boone,2020,6,10,June
F,30-39,2020-06-13 00:00:00,1,Boone,2020,6,13,June
F,30-39,2020-06-15 00:00:00,1,Boone,2020,6,15,June
F,30-39,2020-06-16 00:00:00,1,Boone,2020,6,16,June
F,30-39,2020-06-19 00:00:00,1,Boone,2020,6,19,June
F,30-39,2020-06-27 00:00:00,1,Boone,2020,6,27,June
F,30-39,2020-07-02 00:00:00,1,Boone,2020,7,2,July
F,30-39,2020-07-15 00:00:00,1,Boone,2020,7,15,July
F,30-39,2020-07-17 00:00:00,1,Boone,2020,7,17,July
F,30-39,2020-07-18 00:00:00,1,Boone,2020,7,18,July
F,30-39,2020-07-19 00:00:00,1,Boone,2020,7,19,July
F,30-39,2020-07-23 00:00:00,1,Boone,2020,7,23,July
F,30-39,2020-07-25 00:00:00,1,Boone,2020,7,25,July
F,30-39,2020-07-26 00:00:00,1,Boone,2020,7,26,July
F,30-39,2020-07-27 00:00:00,2,Boone,2020,7,27,July
F,30-39,2020-07-28 00:00:00,1,Boone,2020,7,28,July
F,30-39,2020-07-29 00:00:00,2,Boone,2020,7,29,July
F,30-39,2020-08-01 00:00:00,1,Boone,2020,8,1,August
F,30-39,2020-08-06 00:00:00,2,Boone,2020,8,6,August
F,30-39,2020-08-07 00:00:00,2,Boone,2020,8,7,August
F,30-39,2020-08-09 00:00:00,1,Boone,2020,8,9,August
F,30-39,2020-08-13 00:00:00,1,Boone,2020,8,13,August
F,30-39,2020-08-14 00:00:00,2,Boone,2020,8,14,August
F,30-39,2020-08-15 00:00:00,1,Boone,2020,8,15,August
F,30-39,2020-08-19 00:00:00,1,Boone,2020,8,19,August
F,30-39,2020-08-26 00:00:00,1,Boone,2020,8,26,August
F,30-39,2020-09-03 00:00:00,2,Boone,2020,9,3,September
F,30-39,2020-09-04 00:00:00,2,Boone,2020,9,4,September
F,30-39,2020-09-11 00:00:00,1,Boone,2020,9,11,September
F,30-39,2020-09-21 00:00:00,1,Boone,2020,9,21,September
F,30-39,2020-09-23 00:00:00,1,Boone,2020,9,23,September
F,30-39,2020-09-28 00:00:00,1,Boone,2020,9,28,September
F,30-39,2020-09-30 00:00:00,1,Boone,2020,9,30,September
F,30-39,2020-10-01 00:00:00,1,Boone,2020,10,1,October
F,30-39,2020-10-06 00:00:00,1,Boone,2020,10,6,October
F,30-39,2020-10-08 00:00:00,1,Boone,2020,10,8,October
F,30-39,2020-10-11 00:00:00,2,Boone,2020,10,11,October
F,30-39,2020-10-14 00:00:00,1,Boone,2020,10,14,October
F,30-39,2020-10-15 00:00:00,1,Boone,2020,10,15,October
F,30-39,2020-10-21 00:00:00,5,Boone,2020,10,21,October
F,30-39,2020-10-22 00:00:00,1,Boone,2020,10,22,October
F,30-39,2020-10-23 00:00:00,3,Boone,2020,10,23,October
F,30-39,2020-10-27 00:00:00,4,Boone,2020,10,27,October
F,30-39,2020-10-28 00:00:00,2,Boone,2020,10,28,October
F,30-39,2020-10-29 00:00:00,3,Boone,2020,10,29,October
F,30-39,2020-10-30 00:00:00,2,Boone,2020,10,30,October
F,30-39,2020-10-31 00:00:00,1,Boone,2020,10,31,October
F,30-39,2020-11-03 00:00:00,6,Boone,2020,11,3,November
F,30-39,2020-11-04 00:00:00,3,Boone,2020,11,4,November
F,30-39,2020-11-05 00:00:00,1,Boone,2020,11,5,November
F,30-39,2020-11-06 00:00:00,3,Boone,2020,11,6,November
F,30-39,2020-11-07 00:00:00,3,Boone,2020,11,7,November
F,30-39,2020-11-08 00:00:00,1,Boone,2020,11,8,November
