"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"2501","21745400","S","SFD","4404 Maldenhair Dr","4906","$299,000","4","2","1","FranklnTP","FOX HOLLOW","1","2LEVL","ATTACH","2","2,597","No","2,597","15","CESC01"
"2501","21703077","S","SFD","9125 Gordimer Cir","4906","$299,900","4","2","1","FranklnTP","VILLAGE AT NEW BETHEL","0","2LEVL","ATTACH","2","2,508","No","2,508","118","HMSR01"
"2501","21745132","S","SFD","7117 Lakeland Trails Blvd","4906","$300,000","4","2","2","FranklnTP","LAKELAND TRAILS","1","2LEVL","ATTACH","2","2,312","Yes","3,364","4","BRCH01"
"2501","21736499","S","SFD","4661 Kintz Dr","4906","$300,000","4","2","1","FranklnTP","FOX HOLLOW","1","2LEVL","ATTACH","2","2,454","No","2,454","28","RRIN01"
"2501","21732658","S","SFD","4539 Hammerstone Ct","4906","$300,000","4","2","0","FranklnTP","BIG RUN","2","1LEVL","ATTACH","3","2,516","No","2,516","14","HRLS01"
"2501","21731674","S","SFD","5912 Lyster Ln","4906","$302,749","3","3","0","FranklnTP","ENCLAVE AT LYSTER LANE","0","2LEVL","ATTACH","2","2,327","No","2,327","4","HMSR01"
"2501","21724062","S","SFD","8020 Ambry Way","4906","$304,000","4","2","1","FranklnTP","EDENWILDE","1","2LEVL","ATTACH","2","2,511","Yes","3,633","17","KWIN02"
"2501","21745293","S","SFD","10503 Sugar Ridge Way","4906","$305,000","5","3","1","FranklnTP","WOLF RUN","1","2LEVL","ATTACH","2","2,840","Yes","4,120","3","RESL01"
"2501","21715412","S","SFD","7224 Sunset Ridge Pkwy","4906","$305,000","5","2","1","FranklnTP","GLEN RIDGE SOUTH","1","2LEVL","ATTACH","2","2,967","No","2,967","27","RPMR01"
"2501","21725526","S","SFD","7406 Bunker Hill Crst","4906","$307,000","3","2","1","FranklnTP","FRANKLIN PARKE ESTATES","1","2LEVL","ATTACH","2","2,279","Yes","3,120","36","BHHS03"
