MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21643654,,Residential,Single Fam,,Creekside,Laura Waters,Leyton Wellbaum,145000,145000,2019-05-31,2020-11-29,RE/MAX Legends Group,Russell Mathes
21662904,,Residential,Single Fam,,Plymouth Rock,Jessica Kagy,,153000,153000,2019-08-19,2020-02-19,"2.0 Brokerage, LLC",Noah Bradtke - Litwack
21685047,,Residential,Single Fam,,Olive Branch,David I. Mull,,150000,150000,2019-12-05,2020-04-30,"Jeneene West Realty, LLC",Jeneene West
21668606,,Residential,Single Fam,,Indiana,Jeffrey D. Paxson,,150000,150000,2019-09-19,2020-03-19,"Ebeyer Realty, LLC",David P. Ebeyer
21655508,,Residential,Single Fam,,Oxbow,Jeffrey Paxson,,150000,150000,2019-07-18,2020-01-18,"Carpenter, REALTORS®",Michele Killinger
21655863,,Residential,Single Fam,,HARRIMAN,Dennis Weaver,,165000,165000,2019-07-20,2020-01-20,Highgarden Real Estate,Angel Gastineau
21663591,,Residential,Single Fam,,SOUTHWAY,Tamela Howard,,149900,153000,2019-08-24,2020-02-24,Keller Williams Indy Metro S,Crystal Bell
21641185,,Residential,Single Fam,,TRESSLAR,Sarah Elkmann,Mark J. Branch,165000,156000,2019-05-17,2019-11-15,"Ferguson Realty Services, LLP",Vincent Ferguson
21659612,,Residential,Single Fam,,Barefoot,Matthew Crawford,,150000,150000,2019-08-05,2020-02-28,RE/MAX Realty Group,Brittany Burke
21652530,,Residential,Single Fam,,Morgantown,Cindy Stockhaus,Michael R. Stockhaus,158000,154000,2019-07-05,2020-01-10,Non-BLC Office,Non-BLC Member
21659605,,Residential,Single Fam,,Preakness,Nicholas Hurt,,159900,154900,2019-08-02,2019-12-02,CENTURY 21 Scheetz,Jessica Carl Roof
