"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21745380","S","SFD","3212 Homestretch Dr","2910","$950,000","6","6","1","Carmelclay","SADDLEBROOK AT SHELBORNE","1","2LEVL","ATTACH","3","4,015","Yes","6,049","4","TUCK14"
"1001","21712013","S","SFD","12156 Ams Run","2910","$950,000","4","4","1","Carmelclay","JACKSON'S GRANT","2","1LEVL","ATTACH","3","2,963","Yes","5,244","126","BHHS01"
"1001","21745111","S","SFD","13822 FOXDALE LAKE Dr","2910","$960,000","5","4","2","Carmelclay","WOODS AT WILLIAMS CREEK","3","2LEVL","ATTACH","4+","5,233","Yes","7,504","14","CESC01"
"1001","21719044","S","SFD","10698 Torrey Pines Cir","2910","$960,000","5","4","2","Carmelclay","CROOKED STICK","2","2LEVL","ATTACH","3","4,314","Yes","6,185","8","REAB01"
"1001","21697964","S","SFD","12293 Heatherstone Pl","2910","$975,000","6","4","1","Carmelclay","BAYHILL","3","2LEVL","ATTACH","3","5,378","Yes","7,957","10","TUCK07"
"1001","21725500","S","SFD","5907 William Conner Way","2910","$985,000","5","4","2","Carmelclay","MOFFITT FARM","3","2LEVL","ATTACH","3","4,994","Yes","7,245","2","REAB01"
"1001","21749098","S","SFD","10443 Charter Oaks","2910","$987,000","5","6","2","Carmelclay","WINDEMERE","3","2LEVL","ATTACH","4+","4,822","Yes","8,323","1","TUCK14"
"1001","21744037","S","SFD","11823 West Rd","2910","$989,900","4","4","1","Carmelclay","WATERFRONT AT WEST CLAY","1","1LEVL","ATTACH,MULTI","3","3,604","Yes","4,407","22","ECOR01"
"1001","21728426","S","SFD","12005 Leighton Ct","2910","$1,000,000","5","4","1","Carmelclay","VILLAGE OF WESTCLAY","4","3LEVL","ATTACH","3","4,807","Yes","7,486","6","BHHS01"
"1001","21721761","S","SFD","9832 Summerlakes Dr","2910","$1,000,000","6","5","2","Carmelclay","SUMMERLAKES","2","2LEVL","ATTACH","4+","5,270","Yes","8,320","3","TUCK14"
"1001","21732608","S","SFD","5435 S Grandin Hall Cir","2910","$1,025,000","5","6","1","Carmelclay","GRANDIN HALL","3","2LEVL","ATTACH","4+","6,361","Yes","10,321","9","ECOR01"
"1001","21723863","S","SFD","10555 Noma Ct","2910","$1,030,000","5","5","1","Carmelclay","WINDSOR GROVE","2","2LEVL","ATTACH","4+","3,806","Yes","5,178","7","KWIN01"
"1001","21734105","S","SFD","9766 Summerlakes Dr","2910","$1,050,000","6","4","2","Carmelclay","SUMMERLAKES","2","2LEVL","ATTACH","4+","5,153","Yes","7,760","5","ECOR01"
"1001","21726319","S","SFD","1238 Skytag Dr","2910","$1,050,000","5","4","1","Carmelclay","JACKSONS GRANT ON WILLIAMS CREEK","1","2LEVL","ATTACH","3","3,920","Yes","5,602","1","CESC05"
"1001","21709412","S","SFD","1232 Frenzel Pkwy","2910","$1,050,000","6","5","1","Carmelclay","JACKSON'S GRANT","2","2LEVL","ATTACH","3","3,961","Yes","5,677","97","EZST02"
"1001","21725016","S","SFD","1855 HOURGLASS Dr","2910","$1,064,000","5","4","1","Carmelclay","VILLAGE OF WESTCLAY","2","2LEVL","ATTACH","3","4,491","Yes","6,851","4","TUCK14"
"1001","21735497","S","SFD","2330 Finchley Rd","2910","$1,069,000","5","4","2","Carmelclay","VILLAGE OF WESTCLAY","2","2LEVL","ATTACH","3","4,877","Yes","6,651","6","ECOR01"
